sample,Hours, Compactin, KLA,10Z-heptadecenoic acid,11_14_17-eicosatrienoic acid,11_14-eicosadienoic acid,11-HETE,13_16_19-docosatrienoic acid,13_16-docosadienoic acid,15-deoxy-PGD2,15-deoxy-PGJ2,5_8_11_14_17-eicosapentaenoic acid,5_8_11-eicosatrienoic acid,5-HETE,7_10_13_16_19-docosapentaenoic acid,7Z_10Z_13Z_16Z-docosatetraenoic acid,9Z-palmitoleic acid,alpha-linolenic acid,arachidic acid,arachidonic acid,behenic acid,bishomo-gamma-linolenic acid,cerotic acid,cis-erucic acid,cis-selacholeic acid,DHA,gamma-linolenic acid,lauric acid,lignoceric acid,linoleic acid,Margaric acid,Myristic acid,Oleic acid,Palmitic acid,Pentadecanoic acid,PGD2,PGE2,PGF2a,PGJ2,stearic acid,Stearidonic acid,Tricosanoic acid
BCJ080212A25,12,1,1,3.40190347160796,3.82374936030827,3.36176835941915,3.34198574722862,3.32337006906127,3.32192809488736,3.73768676140986,3.674686619928,3.4032677223393,NA,NA,3.52732060787705,3.44095219802964,4.09676785471469,3.3547342399706,3.4867143730307,4.17232749165762,3.36597242759338,3.45549162062847,3.37155886261196,3.32481060342048,3.33199177823206,3.60999129521268,3.34624777408278,3.8073549220576,3.46988597627446,3.96993327469786,3.57288966842058,4.19140472885276,7.55933884760654,7.52794609890826,3.67807190511264,3.33199177823206,3.34482849699744,3.33199177823206,3.51601514700366,6.60095358683846,3.32192809488736,3.33771109212829
BCJ080219A25,12,1,1,3.39506279951758,3.85299758761332,3.38543103719352,3.36597242759338,3.32337006906127,3.32337006906127,4.18586654531133,3.40053792958373,3.38543103719352,3.32624970083746,NA,3.60762622084549,3.44890095114513,4.04351949366274,3.37016428054021,3.51222688651396,4.21606678308703,3.39231742277876,3.4944156103975,3.4995270242151,3.32337006906127,3.33199177823206,3.69932952567316,3.33913738491959,3.8569856897822,3.43829285157915,3.94860084749336,3.69932952567316,4.63575439127776,7.37512633806909,7.64450525651406,3.74200621086674,3.33199177823206,3.3305584000308,3.32337006906127,3.39780296186249,6.86604249709684,3.32192809488736,3.33913738491959
BCJ080226A25,12,1,1,3.42223300068305,3.60050764534579,3.34340782229781,3.35614381022528,3.32192809488736,NA,4.56985560833095,3.43295940727611,3.3743439890385,3.32337006906127,3.32192809488736,3.46336088581666,3.37712374912949,4.19613488076516,3.35191096110308,3.48800077083407,4.37051305246041,3.36457243229586,3.42894634476948,3.41006969175638,3.32481060342048,3.32912359629157,3.53977919169849,3.37851162325373,3.5385381636298,NA,4.01613970265525,3.71918344048179,4.71369581484336,7.65485080584631,7.19574129324645,3.63110428236588,3.33628338786443,3.36036427654347,NA,3.48542682717024,6.47897180503294,3.32192809488736,3.34340782229781
BCJ080212A06,1,0,0,3.39231742277876,3.74953426766926,3.35191096110308,3.32337006906127,3.32481060342048,3.32192809488736,3.32337006906127,3.32481060342048,3.45022149589718,3.32192809488736,3.32192809488736,3.57288966842058,3.45154083301783,4.01881218574282,3.36457243229586,3.4594316186373,3.61529857909211,3.3533232911629,3.45811948117451,3.35895882583233,3.32192809488736,3.32768736417605,3.73768676140986,3.3533232911629,4.01792190799726,3.61706334388818,4.07553263116736,3.57167680997093,4.42693561964834,7.7517448843277,6.81339642123452,3.78972925137577,3.3305584000308,3.33199177823206,3.32768736417605,3.56924802986718,6.04461269295798,3.32192809488736,3.34198574722862
BCJ080219A06,1,0,0,3.45154083301783,3.96069703930431,3.3743439890385,3.3305584000308,NA,3.32481060342048,3.33199177823206,3.32624970083746,3.45549162062847,3.32481060342048,3.32481060342048,3.73552217729654,3.53605290024021,4.29645740737124,3.37712374912949,3.48542682717024,4.13791332208841,3.43162295971329,3.50462039240355,NA,3.32768736417605,3.34624777408278,3.8923910259134,3.33771109212829,3.53356334821451,3.47638168756723,4.03121873061072,3.79181407116183,4.5197934862411,7.50469983377583,6.99344793233148,3.64961545906341,3.68818035858693,3.36176835941915,3.33485426933163,3.68257329734758,6.74523733212975,3.32192809488736,NA
BCJ080226A06,1,0,0,3.38956681176273,3.67694435910691,3.34056226902641,3.32624970083746,NA,NA,3.32481060342048,NA,3.40735275114004,3.32192809488736,3.32337006906127,3.54473265593262,3.39643353125099,4.17232749165762,3.3547342399706,3.46727948045998,3.96393645214449,3.37016428054021,3.43295940727611,3.37573453858316,3.32337006906127,3.32768736417605,3.6507645591169,3.34056226902641,3.7235585614721,3.54596836910529,3.97911075501579,3.74523733212975,4.7338966052475,7.64262937752087,6.50366675457602,3.69041709553247,4.0866139474095,3.44890095114513,NA,4.22727899446832,5.64904056563445,3.32192809488736,3.33342373372519
BCJ080212A08,1,0,1,3.43162295971329,4.04176864995163,3.35895882583233,3.32481060342048,3.32192809488736,3.32624970083746,3.32337006906127,3.32624970083746,3.48026512205446,3.32337006906127,NA,3.64731450954714,3.48284828306847,4.25398926623079,3.36176835941915,3.43162295971329,3.76924279514054,3.36457243229586,3.49697358099828,3.33913738491959,3.32481060342048,3.33628338786443,3.76659516172927,3.3533232911629,4.04439411935845,3.60288440871842,4.28392177230762,3.70708299177171,4.73822740036724,7.59036248846375,7.22795281368232,3.88264304936184,3.85299758761332,3.37851162325373,3.32481060342048,4.52794609890826,6.31487775736821,3.32337006906127,3.34340782229781
BCJ080219A08,1,0,1,3.48284828306847,4.16671544496642,3.37573453858316,3.33199177823206,NA,3.32624970083746,3.33913738491959,3.32481060342048,3.46727948045998,3.32337006906127,3.32337006906127,3.7279204545632,3.54349588342577,4.37712374912949,3.38543103719352,3.40190347160796,4.24336442569366,3.47508488294878,3.50716034911752,NA,3.33342373372519,3.34766565630097,3.8569856897822,3.37155886261196,4.03210084316702,3.51222688651396,3.86096279785812,3.58976348698498,4.75542173473424,7.15977044548558,7.35939817627605,3.85099939471647,3.32481060342048,3.32192809488736,NA,3.38818953715608,7.11894107272351,3.32337006906127,NA
BCJ080226A08,1,0,1,3.44095219802964,3.84398384404833,3.34198574722862,3.32768736417605,3.32192809488736,3.32192809488736,3.32912359629157,3.32337006906127,3.4154882710497,3.32192809488736,3.32337006906127,3.5837597536395,3.46597446450407,4.40258575823259,3.37016428054021,3.4944156103975,4.05831649559082,3.38404980679516,3.46336088581666,3.38128337250378,3.32481060342048,3.33199177823206,3.70265754339091,3.35614381022528,3.59215800212536,3.56924802986718,3.93828579188405,3.65420637794429,4.56864019541922,7.41252750737129,7.02724253597374,3.74846123300404,3.32768736417605,3.34766565630097,NA,3.4262647547021,6.08151006812092,3.32192809488736,3.33628338786443
BCJ080212A07,1,1,0,3.36036427654347,3.53356334821451,3.34198574722862,3.32337006906127,3.32337006906127,NA,3.32912359629157,3.32624970083746,3.41413553298445,3.32337006906127,NA,3.46858331700683,3.38818953715608,3.74523733212975,3.34908214639109,3.47378691161437,4.0496307677246,3.35049724708413,3.38128337250378,3.3743439890385,3.32192809488736,3.32481060342048,3.55704241526372,3.34908214639109,4.05398016818765,3.47248777146274,4.08406426478847,3.60169651648096,4.34269695998193,7.32948243102564,6.17632277264046,3.61470984411521,3.76341157447001,3.35191096110308,3.35191096110308,4.10517519226548,5.50557340028202,NA,3.33628338786443
BCJ080219A07,1,1,0,3.42894634476948,4.0036022366802,3.37016428054021,3.32481060342048,NA,3.32337006906127,3.34198574722862,3.32624970083746,3.45811948117451,3.32768736417605,3.32337006906127,3.75488750216347,3.52481592835751,4.19219416528334,3.36876834909033,3.39094277280254,4.36667191611176,3.40463068421761,3.55704241526372,NA,3.32624970083746,3.34482849699744,3.90207357931074,3.33628338786443,3.77505054148317,3.44757919654888,3.91838623444635,3.68369645430652,4.64154602908752,7.39523421222388,6.83238371654913,3.58135124716878,3.90110824301451,3.4154882710497,3.32192809488736,3.87676249078156,6.59424994765735,3.32192809488736,NA
BCJ080226A07,1,1,0,3.41818994794577,3.67129337248158,3.34340782229781,3.32481060342048,NA,3.32192809488736,3.32768736417605,3.32192809488736,3.41006969175638,3.32481060342048,3.32192809488736,3.55458885167764,3.41953889151378,4.45154083301783,3.36597242759338,3.52105073690096,3.96578428466209,3.38956681176273,3.43562859405209,3.39780296186249,3.32768736417605,3.3305584000308,3.67919857056692,3.3533232911629,3.51475349843975,3.36597242759338,3.99367436175058,3.69041709553247,4.49505552836802,7.56795607541547,6.50414365228547,3.70376517879341,4.30012372456901,3.50462039240355,NA,4.9759052735237,5.87282875953489,3.32337006906127,3.33342373372519
BCJ080212A09,1,1,1,3.39917109381982,3.92884403671257,3.35049724708413,3.32481060342048,3.32192809488736,NA,3.32912359629157,3.32768736417605,3.45154083301783,3.32337006906127,3.32192809488736,3.62643913669732,3.48155728070859,4.12763327972587,3.36036427654347,3.48026512205446,4.00180224263399,3.35614381022528,3.47897180503294,3.34340782229781,3.32337006906127,3.33485426933163,3.75381844317354,3.35049724708413,3.78972925137577,3.49697358099828,3.90207357931074,3.58976348698498,4.48542682717024,7.40837220357268,6.73782194014417,3.73552217729654,3.32624970083746,3.34340782229781,3.33628338786443,3.48284828306847,5.93828579188405,3.32192809488736,3.33771109212829
BCJ080219A09,1,1,1,3.4235781709818,3.97361127551947,3.36036427654347,3.32624970083746,NA,3.32624970083746,3.34482849699744,3.32481060342048,3.44493204894218,3.32624970083746,3.32192809488736,3.70376517879341,3.46988597627446,4.22804904788446,3.37155886261196,3.35191096110308,4.14404636961671,3.42088657497553,3.49569516262407,NA,3.32768736417605,3.3533232911629,3.83592407425437,3.33342373372519,3.80012335282653,3.56924802986718,3.95046841415012,3.73984810269933,4.57833494868161,7.45425816131463,6.790772037862,3.62760683812965,3.32624970083746,3.32192809488736,3.33342373372519,3.41142624572647,6.53776197862109,3.32337006906127,NA
BCJ080226A09,1,1,1,3.5385381636298,3.86096279785812,3.33913738491959,3.32624970083746,NA,3.32192809488736,3.34766565630097,3.32481060342048,3.43962313755712,3.32481060342048,3.32337006906127,3.5668151540109,3.45154083301783,4.99140846676479,3.38818953715608,3.40735275114004,3.87921563716567,3.41006969175638,3.4541758931858,3.39231742277876,3.32481060342048,3.33485426933163,3.70154905694307,3.34766565630097,3.68929916053589,NA,4.02768487693716,3.67919857056692,4.63807383718072,7.77353486310051,6.28521724610209,3.64154602908752,3.32912359629157,3.35895882583233,NA,3.51601514700366,5.47443604325227,3.32192809488736,3.34340782229781
BCJ080212A26,24,0,0,3.35755200461808,4.13093086982645,3.35191096110308,NA,3.32192809488736,3.32192809488736,3.32337006906127,3.32337006906127,3.43295940727611,3.32337006906127,NA,3.58616424593091,3.45680614923047,3.80322703643493,3.33771109212829,3.41818994794577,4.12350066435096,3.35049724708413,3.44890095114513,3.35755200461808,3.32624970083746,3.33485426933163,3.65764000520782,3.33628338786443,3.85299758761332,3.46988597627446,3.86591881455221,3.5909612413426,4.2349610948395,7.24279302359725,6.63241364113755,3.61470984411521,3.3305584000308,3.35895882583233,NA,3.4594316186373,6.21974935454673,3.32192809488736,3.34056226902641
