sample,Tissue/Fluid, Treatment,11-Dehydrocorticosterone,17-hydroxypregnenolone,17-hydroxyprogesterone,Aldosterone,Androstenolone (DHEA),Cortexolone,Cortexone,Corticosterone_ DOC,Cortisol,Cortisone,Estradiol,Estrone,Mono-(2-ethylhexyl) phthalate,Pregnenolone,Progesterone,Testosterone
10 MZD liver Dam,6,3,5.9236,4.4942,0.0102,0.0814,0.601,0.1722,0.3726,1.3837,0.1759,0.051,7.4813,1.029,0,0.9258,3.5907,0.053
11 MZD liver Dam,6,3,7.336,3.7307,0.0398,0.2966,2.7089,0.0478,0.0956,2.5214,0,0.0918,2.3735,1.7647,0,3.5134,3.9338,0.0469
14 MZD liver Dam,6,3,3.6644,5.0452,0.0136,0,0.5064,0.0883,0.1886,2.1311,0.309,0,52.7129,3.0115,0,30.6418,5.0383,0.016
19 MZD liver Dam,6,3,1.2324,1.0646,0.0434,0.3206,0.6277,0.0297,0.0697,1.5073,0,0.0209,56.2007,2.4457,0,3.6901,2.8844,0.0131
32 MZD liver Dam,6,3,2.3606,3.1151,0.1124,0.9725,0.7031,0.1431,0.0264,8.7489,0.0682,0.0632,6.7624,4.2274,0,4.6509,4.5819,0.5112
41 MZD liver Dam,6,3,0.917,4.6431,0.0266,1.0847,0.7258,0.0377,0.0721,3.2373,0,0.078,9.2238,1.7173,0,9.6491,3.7239,0.15
5 MZD liver Dam,6,3,1.7916,5.5735,0.0022,0.416,0.5645,0,0.1639,1.8843,0.6002,0.0094,11.7477,3.5701,0,15.2233,4.6303,0
12 control  MP,7,1,89.2842,26.5807,0.6636,0.6972,1.4081,2.6975,5.1654,165.4726,0.1713,0.1157,4.6502,0.3817,0,0.6765,46.3894,0.8552
1 control  MP,7,1,79.1328,4.214,0.9109,0.6509,0,4.2024,6.172,102.7064,0.0278,0.0506,7.1803,0.6864,0,8.2062,74.6454,0.9536
27 control  MP,7,1,8.221,0,0.0265,0.2455,5.3724,1.649,4.187,117.7252,0,0,1.4645,0.0583,0,2.0114,26.083,0.1517
28 control  MP,7,1,18.2675,0,0.0777,0.3654,5.7629,6.8314,6.2141,280.3428,0.2792,0,0.9333,0.2145,0,2.8347,50.7747,0.1703
39 control  MP,7,1,9.6441,0,0.0153,0.194,5.6175,0,4.0328,104.3683,0,0.0017,1.2128,0.2124,0,8.5065,50.0771,0.2108
3 control MP,7,1,50.6492,0,0.1504,0.5171,0.8688,1.5412,3.8262,177.7068,0.3956,0.0018,0.8312,0.2637,0,2.6013,65.3169,0.3701
40 control  MP,7,1,17.2151,0,0.2154,0.1753,2.7187,1.5409,2.3204,181.1082,0.1336,0.0203,0.6944,0.3504,0,3.9377,26.5761,0.0787
8 control  MP,7,1,43.5497,28.1909,0.1282,0.879,0.4564,2.7996,3.0904,106.0498,0.1556,0.0038,0.58,0.8132,0,1.9265,37.5093,0.3541
9 control  MP,7,1,66.5652,57.9448,0.1769,0.6545,2.948,4.9527,4.3998,156.2247,0.1528,0.0587,0.4489,0.7904,0,2.4975,53.7003,0.1696
10 MZD  MP,7,3,42.6234,27.3632,0.3055,1.1537,0.9756,0.2417,2.4163,71.1766,0,0.0599,0.6106,0.3316,0,0.3872,49.9281,0.2888
11 MZD  MP,7,3,34.899,38.8377,0.1396,0.999,2.7093,2.1365,2.8829,101.6979,0.0698,0.0072,0.6574,0.852,0,0.485,59.5961,0.2837
14 MZD  MP,7,3,97.4359,31.3003,0.352,1.2272,0,9.1733,3.7312,348.5452,0.4932,0.1193,1.5994,0.1749,0,1.8348,70.0241,0.6231
19 MZD  MP,7,3,41.9292,11.0685,0.1526,0.6003,0.7431,0,2.3839,63.677,0.1113,0.0542,0.6522,1.1057,0,1.2389,31.5607,0.3625
32 MZD  MP,7,3,20.3043,0,0.4055,0.2676,0,1.9338,3.64,117.6072,0.1881,0,1.3268,0.3273,0,1.8044,25.0777,0.2462
41 MZD  MP,7,3,18.5954,0,0.1804,0.141,2.1629,0,2.8829,48.2042,0.016,0.0137,0.3362,0.1882,0,2.3499,44.5293,0.0817
5 MZD  MP,7,3,49.4423,52.6515,0.2621,0.0798,2.6407,3.8068,3.8743,353.3112,0.0031,0.0476,0.9373,0.3269,0,3.9232,65.0326,0.5339
12 control  Pta,8,1,92.54,0.5261,0.0391,0.1068,3.242,12.82,4.0836,83.9406,0,0,0.2404,0.8299,0,1.7264,5.8935,1.0298
1 control Pta,8,1,257.5293,3.2486,0,3.1936,0.644,23.9238,4.7419,98.0157,2.0629,0.0838,1.0562,0.5559,0,10.4675,8.0744,1.5764
27 control Pta,8,1,151.8951,1.9977,0.0793,0.3251,3.5398,12.5564,10.0167,53.0037,0,0.0279,0.0576,1.3227,0,11.2754,8.3581,1.7268
28 control  Pta,8,1,161.9026,3.9771,0.0302,2.6784,3.0346,19.3029,4.7411,77.9598,0.3875,0,11.5044,0.5469,0,15.0795,6.5753,0.7856
39 control  Pta,8,1,166.3578,3.908,0.0282,1.2565,10.3095,26.4597,10.7042,92.6086,0.0669,0.1314,13.1434,1.0771,0,9.7522,10.3631,1.0576
3 control Pta,8,1,140.6641,0.7395,0,1.3805,8.1818,28.5286,6.8899,138.7512,0,0.0879,2.4129,0.5682,0,11.1497,6.868,1.6947
40 control  Pta,8,1,74.8664,0.5716,0.0124,0.3878,1.9176,8.2476,0.1579,44.0055,0.1804,0.0401,0.035,0.4756,0,1.1936,6.8468,0.1261
8 control Pta,8,1,53.1049,2.006,0.0512,0,1.5943,8.067,1.1722,74.7278,0.2526,0,0.3766,1.0062,0,3.0557,3.5526,0.5148
9 control  Pta,8,1,140.4334,0.093,0.0227,0.5896,3.0926,18.5106,7.7456,69.3121,0.1833,0,1.2378,2.1646,0,4.7412,6.7277,0.8242
10 MZD  Pta,8,3,98.009,0.5548,0.0096,0.7908,1.7196,9.6605,1.0351,52.6766,0,0,7.2215,1.0623,0,9.7832,3.1943,0.3189
11 MZD  Pta,8,3,124.101,2.1811,0.016,1.2415,2.0434,19.2804,3.6256,87.4661,0,0.0248,7.9642,0.3063,0,7.3229,4.3409,0.5124
14 MZD  Pta,8,3,17.0577,0.8204,0.0298,0.9001,0.48,6.5056,1.8373,43.8532,0,0,0.0121,0.0713,0,1.8459,7.6125,0.2286
19 MZD  Pta,8,3,60.5243,0.7945,0.0362,0.5891,4.6271,4.8078,2.4933,38.8932,0.6035,0.0099,10.351,9.7116,0,1.1814,6.6679,1.2728
32 MZD  Pta,8,3,243.9153,2.5642,0.0236,0.7091,2.4415,22.6775,6.3351,73.6479,0.2621,0,3.7036,1.6794,0,5.3694,12.3575,1.8989
41 MZD  Pta,8,3,57.3629,0.2817,0.0176,0.9815,3.4293,16.0849,1.1712,75.5253,0.0921,0.4051,18.4825,2.1545,0,10.8704,5.3522,0.998
5 MZD  Pta,8,3,145.0737,2.3042,0.019,0.5243,2.9389,21.6883,3.229,126.2698,0,0.3815,13.4437,0.8072,0,9.499,5.7299,0.3218
